'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -219.41319274902344, avg_fit -399.82373863458633, elapsed 21.4018
5: best_fit -1.2332936525344849, avg_fit -29.122841804171912, elapsed 34.7460
10: best_fit -1.2332936525344849, avg_fit -9.56067410914693, elapsed 48.3301
15: best_fit -1.2332936525344849, avg_fit -10.258713750750758, elapsed 61.8736
20: best_fit -1.2332936525344849, avg_fit -11.84492625691928, elapsed 75.9768
25: best_fit -1.2027490139007568, avg_fit -10.436018032836728, elapsed 91.5485
30: best_fit -1.2027490139007568, avg_fit -10.35752493608743, elapsed 104.9918
35: best_fit -1.2027490139007568, avg_fit -9.676746699027717, elapsed 117.9521
40: best_fit -1.2027490139007568, avg_fit -9.000457418616861, elapsed 130.6992
45: best_fit -1.2027490139007568, avg_fit -8.793199193896726, elapsed 143.5715
50: best_fit -1.2027490139007568, avg_fit -9.31214918079786, elapsed 143.5715
