'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -107.86862182617188, avg_fit -399.62627640366554, elapsed 5.9875
5: best_fit -0.8833813071250916, avg_fit -13.540586701768916, elapsed 18.3844
10: best_fit -0.48697134852409363, avg_fit -16.132594555267133, elapsed 30.6768
15: best_fit -0.48697134852409363, avg_fit -13.398219863505801, elapsed 42.5581
20: best_fit -0.48697134852409363, avg_fit -13.91300370634417, elapsed 54.4668
25: best_fit -0.48697134852409363, avg_fit -11.679788540815935, elapsed 66.6897
30: best_fit -0.48697134852409363, avg_fit -14.006875058170408, elapsed 79.0815
35: best_fit -0.48697134852409363, avg_fit -12.483549260592554, elapsed 92.0545
40: best_fit -0.48697134852409363, avg_fit -14.868430964765139, elapsed 104.6369
45: best_fit -0.4853852689266205, avg_fit -12.224217638839036, elapsed 116.4984
50: best_fit -0.4853852689266205, avg_fit -12.878494843433145, elapsed 116.4984
