'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -11.00752067565918, avg_fit -205.72451222874224, elapsed 6.9941
5: best_fit -0.16819973289966583, avg_fit -25.298345960938605, elapsed 23.4957
10: best_fit -0.16819973289966583, avg_fit -3.398900223604869, elapsed 36.3990
15: best_fit -0.05292687192559242, avg_fit -5.04263490665835, elapsed 52.3526
20: best_fit -0.05292687192559242, avg_fit -4.752957585544209, elapsed 70.0724
25: best_fit -0.05292687192559242, avg_fit -5.347744325728854, elapsed 88.2649
30: best_fit -0.045258667320013046, avg_fit -5.315106554644444, elapsed 105.6061
35: best_fit -0.045258667320013046, avg_fit -4.818996254947706, elapsed 124.1078
40: best_fit -0.045258667320013046, avg_fit -4.883352853154065, elapsed 142.4043
45: best_fit -0.045258667320013046, avg_fit -5.322945212988998, elapsed 159.7435
50: best_fit -0.043224550783634186, avg_fit -5.121230214481329, elapsed 159.7435
