'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -1016.0191650390625, avg_fit -1581.2811768054962, elapsed 5.8305
5: best_fit -185.60073852539062, avg_fit -327.91486698389053, elapsed 18.6407
10: best_fit -147.09852600097656, avg_fit -201.14129926264286, elapsed 32.0186
15: best_fit -34.46365737915039, avg_fit -149.742435246706, elapsed 45.0811
20: best_fit -6.901641368865967, avg_fit -53.93593066977337, elapsed 58.3365
25: best_fit -2.5295612812042236, avg_fit -43.45349737233482, elapsed 72.0705
30: best_fit -2.5295612812042236, avg_fit -41.24628944718279, elapsed 84.7155
35: best_fit -2.5295612812042236, avg_fit -43.018802794162184, elapsed 97.4296
40: best_fit -2.5295612812042236, avg_fit -40.33975349669345, elapsed 111.0350
45: best_fit -2.5295612812042236, avg_fit -34.57741678785533, elapsed 123.2874
50: best_fit -2.5295612812042236, avg_fit -35.82717433641665, elapsed 136.3034
55: best_fit -2.5295612812042236, avg_fit -42.87594817066565, elapsed 149.1370
60: best_fit -2.5295612812042236, avg_fit -36.52608689898625, elapsed 161.6489
65: best_fit -2.5295612812042236, avg_fit -39.91427647974342, elapsed 177.7706
70: best_fit -2.5295612812042236, avg_fit -36.515213769394904, elapsed 195.1221
75: best_fit -2.5295612812042236, avg_fit -44.826519647846, elapsed 211.1127
80: best_fit -2.5295612812042236, avg_fit -41.37217373307794, elapsed 225.8114
85: best_fit -2.5295612812042236, avg_fit -44.010146563872695, elapsed 240.0705
90: best_fit -2.5295612812042236, avg_fit -47.07546872203238, elapsed 255.7176
95: best_fit -2.5295612812042236, avg_fit -38.69738780334592, elapsed 271.1496
100: best_fit -2.5295612812042236, avg_fit -41.75847018556669, elapsed 271.1496
