'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -144.0499053955078, avg_fit -498.92345544695854, elapsed 17.3832
5: best_fit -8.61894426047802, avg_fit -26.152638871781594, elapsed 75.5366
10: best_fit -8.61894426047802, avg_fit -14.883427128445808, elapsed 129.0918
15: best_fit -8.61894426047802, avg_fit -11.500217784551081, elapsed 185.6756
20: best_fit -8.61894426047802, avg_fit -13.117889520898325, elapsed 243.8305
25: best_fit -8.613184974342584, avg_fit -15.36339997500305, elapsed 298.6695
30: best_fit -8.613184974342584, avg_fit -15.253424506334273, elapsed 356.0174
35: best_fit -8.613184974342584, avg_fit -14.461847884049556, elapsed 407.5028
40: best_fit -8.613184974342584, avg_fit -13.90863584362691, elapsed 462.0502
45: best_fit -8.613184974342584, avg_fit -14.809208579995467, elapsed 516.4013
50: best_fit -8.613184974342584, avg_fit -13.411640548736814, elapsed 516.4013
