'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -208.48948669433594, avg_fit -508.4660083800554, elapsed 6.4353
5: best_fit -1.4267637729644775, avg_fit -20.577800504746847, elapsed 19.4543
10: best_fit -0.49761122465133667, avg_fit -4.99424208101118, elapsed 32.5631
15: best_fit -0.49761122465133667, avg_fit -5.839892569289077, elapsed 45.5748
20: best_fit -0.38664859533309937, avg_fit -8.986901475233026, elapsed 61.8689
25: best_fit -0.35368674993515015, avg_fit -8.094805039116181, elapsed 76.3982
30: best_fit -0.35368674993515015, avg_fit -6.658239287615288, elapsed 90.5796
35: best_fit -0.35368674993515015, avg_fit -7.724666428694036, elapsed 104.7879
40: best_fit -0.35368674993515015, avg_fit -7.51877772109583, elapsed 119.6052
45: best_fit -0.35368674993515015, avg_fit -7.69802332931431, elapsed 134.3703
50: best_fit -0.15292340517044067, avg_fit -6.580214552232064, elapsed 134.3703
